Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	15.0
Elapsed Live Time:	14.88
Start Time:	May 14, 2025, 04:26:08
End Time:	May 14, 2025, 04:26:23
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		4
5		171
6		25
7		68
8		254
9		213
10		222
11		66
12		100
13		119
14		157
15		153
16		58
17		50
18		45
19		48
20		73
21		62
22		60
23		69
24		70
25		56
26		51
27		48
28		49
29		39
30		43
31		43
32		42
33		44
34		41
35		34
36		37
37		32
38		30
39		68
40		35
41		24
42		28
43		19
44		26
45		20
46		23
47		15
48		19
49		24
50		17
51		21
52		22
53		13
54		21
55		15
56		18
57		14
58		17
59		17
60		13
61		15
62		8
63		11
64		17
65		16
66		16
67		13
68		11
69		7
70		6
71		9
72		9
73		8
74		10
75		18
76		12
77		9
78		13
79		4
80		8
81		9
82		5
83		4
84		9
85		6
86		5
87		4
88		3
89		7
90		8
91		8
92		6
93		7
94		5
95		7
96		7
97		5
98		6
99		5
100		10
101		7
102		3
103		4
104		1
105		3
106		3
107		3
108		7
109		6
110		1
111		5
112		3
113		4
114		3
115		5
116		1
117		2
118		3
119		5
120		6
121		4
122		5
123		3
124		2
125		8
126		3
127		3
128		1
129		2
130		4
131		3
132		2
133		3
134		4
135		8
136		3
137		3
138		3
139		12
140		7
141		7
142		11
143		8
144		2
145		6
146		2
147		4
148		3
149		2
150		6
151		2
152		2
153		3
154		4
155		3
156		1
157		6
158		3
159		5
160		3
161		3
162		1
163		1
164		3
165		3
166		3
167		2
168		3
169		0
170		1
171		1
172		2
173		1
174		2
175		2
176		2
177		5
178		5
179		5
180		2
181		3
182		4
183		0
184		0
185		2
186		2
187		4
188		1
189		3
190		2
191		1
192		4
193		2
194		1
195		1
196		1
197		1
198		4
199		0
200		0
201		1
202		2
203		3
204		1
205		3
206		5
207		0
208		4
209		3
210		2
211		5
212		2
213		3
214		3
215		3
216		2
217		3
218		2
219		1
220		3
221		2
222		1
223		4
224		0
225		4
226		0
227		2
228		0
229		3
230		1
231		4
232		1
233		3
234		1
235		3
236		0
237		2
238		5
239		4
240		4
241		4
242		0
243		1
244		6
245		0
246		5
247		3
248		1
249		5
250		1
251		4
252		0
253		4
254		3
255		3
256		0
257		3
258		1
259		0
260		0
261		0
262		2
263		1
264		1
265		1
266		1
267		2
268		1
269		4
270		1
271		1
272		1
273		0
274		2
275		2
276		2
277		1
278		0
279		1
280		0
281		2
282		0
283		0
284		0
285		3
286		2
287		1
288		0
289		0
290		2
291		1
292		0
293		2
294		1
295		6
296		5
297		5
298		3
299		2
300		2
301		2
302		7
303		2
304		1
305		1
306		1
307		5
308		2
309		3
310		1
311		2
312		1
313		1
314		1
315		1
316		1
317		0
318		0
319		0
320		0
321		0
322		1
323		1
324		0
325		1
326		2
327		0
328		0
329		0
330		2
331		0
332		1
333		0
334		1
335		0
336		0
337		0
338		0
339		1
340		0
341		1
342		1
343		1
344		0
345		0
346		1
347		0
348		0
349		1
350		1
351		0
352		0
353		1
354		0
355		0
356		0
357		0
358		0
359		1
360		0
361		0
362		0
363		1
364		0
365		0
366		1
367		1
368		0
369		0
370		0
371		1
372		0
373		0
374		0
375		0
376		0
377		0
378		0
379		1
380		0
381		0
382		0
383		0
384		1
385		0
386		0
387		0
388		0
389		0
390		1
391		0
392		0
393		1
394		0
395		0
396		0
397		0
398		0
399		0
400		0
401		1
402		0
403		0
404		0
405		1
406		1
407		0
408		0
409		2
410		1
411		0
412		0
413		0
414		0
415		0
416		0
417		0
418		0
419		0
420		0
421		0
422		0
423		0
424		0
425		0
426		0
427		0
428		2
429		0
430		1
431		0
432		0
433		0
434		0
435		1
436		0
437		0
438		0
439		0
440		1
441		1
442		1
443		0
444		0
445		1
446		0
447		0
448		0
449		0
450		0
451		0
452		0
453		0
454		0
455		0
456		0
457		0
458		0
459		0
460		0
461		0
462		0
463		0
464		0
465		0
466		0
467		0
468		1
469		0
470		0
