Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	15.0
Elapsed Live Time:	13.7
Start Time:	May 14, 2025, 05:32:27
End Time:	May 14, 2025, 05:32:42
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		1
3		4
4		11
5		366
6		285
7		889
8		4109
9		4523
10		1402
11		244
12		125
13		164
14		204
15		225
16		114
17		76
18		85
19		64
20		101
21		115
22		125
23		127
24		117
25		131
26		158
27		112
28		117
29		112
30		115
31		125
32		124
33		132
34		164
35		133
36		162
37		170
38		177
39		439
40		514
41		142
42		122
43		159
44		124
45		144
46		125
47		129
48		126
49		140
50		117
51		121
52		105
53		113
54		124
55		130
56		114
57		102
58		109
59		88
60		92
61		88
62		75
63		110
64		97
65		83
66		106
67		84
68		72
69		83
70		82
71		71
72		75
73		77
74		78
75		78
76		72
77		80
78		63
79		64
80		68
81		80
82		67
83		92
84		83
85		84
86		92
87		73
88		74
89		71
90		70
91		74
92		74
93		82
94		77
95		57
96		81
97		65
98		59
99		74
100		68
101		51
102		66
103		63
104		44
105		54
106		88
107		66
108		74
109		69
110		82
111		88
112		73
113		77
114		74
115		55
116		70
117		62
118		56
119		61
120		69
121		70
122		71
123		77
124		79
125		65
126		63
127		70
128		64
129		68
130		77
131		75
132		76
133		68
134		77
135		61
136		65
137		61
138		65
139		71
140		95
141		80
142		79
143		64
144		66
145		82
146		82
147		80
148		75
149		65
150		61
151		56
152		75
153		76
154		93
155		71
156		97
157		76
158		77
159		68
160		64
161		44
162		66
163		66
164		66
165		53
166		49
167		42
168		48
169		48
170		53
171		47
172		50
173		57
174		48
175		52
176		45
177		39
178		43
179		47
180		49
181		45
182		59
183		54
184		38
185		40
186		38
187		46
188		48
189		54
190		53
191		80
192		100
193		111
194		118
195		127
196		160
197		179
198		186
199		174
200		169
201		164
202		171
203		134
204		143
205		96
206		105
207		45
208		38
209		40
210		29
211		20
212		26
213		19
214		25
215		33
216		32
217		33
218		49
219		61
220		90
221		116
222		107
223		127
224		124
225		164
226		137
227		142
228		133
229		140
230		118
231		89
232		90
233		64
234		54
235		28
236		33
237		25
238		23
239		7
240		13
241		11
242		13
243		4
244		5
245		5
246		5
247		6
248		2
249		4
250		4
251		4
252		4
253		2
254		3
255		4
256		4
257		1
258		3
259		3
260		4
261		4
262		1
263		2
264		2
265		2
266		0
267		4
268		2
269		1
270		0
271		3
272		3
273		4
274		3
275		2
276		4
277		1
278		1
279		1
280		2
281		5
282		1
283		4
284		1
285		1
286		2
287		3
288		1
289		4
290		1
291		2
292		0
293		2
294		0
295		0
296		0
297		1
298		3
299		2
300		4
301		4
302		1
303		2
304		4
305		0
306		1
307		1
308		1
309		2
310		1
311		1
312		0
313		1
314		1
315		2
316		1
317		0
318		3
319		1
320		6
321		3
322		2
323		3
324		1
325		2
326		2
327		2
328		0
329		1
330		0
331		4
332		0
333		2
334		0
335		3
336		1
337		0
338		0
339		1
340		1
341		1
342		1
343		2
344		2
345		2
346		0
347		1
348		1
349		0
350		1
351		0
352		0
353		0
354		3
355		0
356		1
357		0
358		1
359		2
360		0
361		1
362		2
363		2
364		0
365		2
366		0
367		1
368		0
369		2
370		0
371		0
372		0
373		1
374		0
375		2
376		4
377		2
378		1
379		2
380		1
381		1
382		0
383		1
384		3
385		2
386		1
387		1
388		4
389		3
390		1
391		1
392		2
393		1
394		0
395		1
396		1
397		0
398		3
399		2
400		1
401		0
402		0
403		1
404		0
405		1
406		1
407		0
408		1
409		0
410		0
411		0
412		1
413		0
414		1
415		0
416		0
417		1
418		1
419		1
420		0
421		2
422		0
423		0
424		0
425		2
426		0
427		0
428		0
429		1
430		4
431		5
432		2
433		0
434		3
435		1
436		0
437		3
438		0
439		5
440		2
441		0
442		0
443		2
444		0
445		1
446		0
447		1
448		1
449		0
450		1
451		1
452		0
453		0
454		2
455		0
456		0
457		0
458		0
459		0
460		0
461		0
462		0
463		0
464		0
465		0
466		0
467		0
468		1
469		0
