Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:,0.004836734693877354,0.003244897959183674
Calibration Channels:,360,409
Calibration Energies:,1.173,1.332
Elapsed Real Time:,1445.86
Elapsed Live Time:,1442.94
Start Time:,May 10, 2025, 02:51:32
End Time:,May 10, 2025, 03:15:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.0,164
1,1.0,69
2,2.0,105
3,3.0,117
4,4.0,295
5,5.0,258
6,6.0,1542
7,7.0,4783
8,8.0,10249
9,9.0,5843
10,10.0,2110
11,11.0,1127
12,12.0,875
13,13.0,1029
14,14.0,1154
15,15.0,1253
16,16.0,1355
17,17.0,1467
18,18.0,1474
19,19.0,1344
20,20.0,1313
21,21.0,1300
22,22.0,1293
23,23.0,1236
24,24.0,1197
25,25.0,1164
26,26.0,1174
27,27.0,1147
28,28.0,1187
29,29.0,1155
30,30.0,1144
31,31.0,1188
32,32.0,1137
33,33.0,1134
34,34.0,1043
35,35.0,1131
36,36.0,1142
37,37.0,2432
38,38.0,1744
39,39.0,1081
40,40.0,991
41,41.0,965
42,42.0,967
43,43.0,945
44,44.0,877
45,45.0,883
46,46.0,835
47,47.0,782
48,48.0,816
49,49.0,776
50,50.0,785
51,51.0,782
52,52.0,778
53,53.0,801
54,54.0,749
55,55.0,761
56,56.0,731
57,57.0,714
58,58.0,752
59,59.0,814
60,60.0,751
61,61.0,779
62,62.0,731
63,63.0,742
64,64.0,709
65,65.0,727
66,66.0,764
67,67.0,718
68,68.0,748
69,69.0,750
70,70.0,796
71,71.0,762
72,72.0,749
73,73.0,792
74,74.0,695
75,75.0,799
76,76.0,801
77,77.0,799
78,78.0,759
79,79.0,767
80,80.0,749
81,81.0,799
82,82.0,711
83,83.0,691
84,84.0,642
85,85.0,679
86,86.0,686
87,87.0,707
88,88.0,631
89,89.0,664
90,90.0,588
91,91.0,692
92,92.0,624
93,93.0,636
94,94.0,605
95,95.0,619
96,96.0,627
97,97.0,615
98,98.0,576
99,99.0,569
100,100.0,563
101,101.0,620
102,102.0,603
103,103.0,608
104,104.0,549
105,105.0,504
106,106.0,496
107,107.0,540
108,108.0,542
109,109.0,504
110,110.0,513
111,111.0,539
112,112.0,483
113,113.0,492
114,114.0,465
115,115.0,469
116,116.0,496
117,117.0,505
118,118.0,485
119,119.0,443
120,120.0,511
121,121.0,497
122,122.0,474
123,123.0,461
124,124.0,470
125,125.0,451
126,126.0,450
127,127.0,468
128,128.0,453
129,129.0,456
130,130.0,469
131,131.0,450
132,132.0,440
133,133.0,480
134,134.0,412
135,135.0,429
136,136.0,423
137,137.0,458
138,138.0,426
139,139.0,455
140,140.0,453
141,141.0,448
142,142.0,454
143,143.0,452
144,144.0,432
145,145.0,445
146,146.0,453
147,147.0,438
148,148.0,460
