Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,626.51
Elapsed Live Time:,585.68
Start Time:,May 14, 2025, 03:46:13
End Time:,May 14, 2025, 03:56:39
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,7
1,,13
2,,27
3,,59
4,,387
5,,11252
6,,8891
7,,29225
8,,135181
9,,138321
10,,30651
11,,5453
12,,4079
13,,4942
14,,6432
15,,7126
16,,3812
17,,2528
18,,2472
19,,2836
20,,3134
21,,3552
22,,3782
23,,3779
24,,3843
25,,3608
26,,3945
27,,3577
28,,3456
29,,3580
30,,3871
31,,3816
32,,4412
33,,4651
34,,4565
35,,4855
36,,5041
37,,5808
38,,6689
39,,24165
40,,5461
41,,4366
42,,4307
43,,4169
44,,4257
45,,4223
46,,4143
47,,4113
48,,4091
49,,4002
50,,3919
51,,3870
52,,3645
53,,3725
54,,3661
55,,3630
56,,3369
57,,3423
58,,3364
59,,3242
60,,3201
61,,3122
62,,3176
63,,2975
64,,3020
65,,2805
66,,2781
67,,2802
68,,2718
69,,2698
70,,2795
71,,2657
72,,2556
73,,2615
74,,2430
75,,2558
76,,2428
77,,2514
78,,2429
79,,2420
80,,2370
81,,2462
82,,2390
83,,2455
84,,2436
85,,2438
86,,2433
87,,2261
88,,2325
89,,2222
90,,2174
91,,2140
92,,2186
93,,2160
94,,2202
95,,2144
96,,2127
97,,2041
98,,2082
99,,2036
100,,2169
101,,2126
102,,2124
103,,2033
104,,2023
105,,2120
106,,2188
107,,2126
108,,2093
109,,2276
110,,2284
111,,2182
112,,2258
113,,2186
114,,2148
115,,2184
116,,2071
117,,2077
118,,2058
119,,2024
120,,2027
121,,2118
122,,2072
123,,2135
124,,2103
125,,2118
126,,2069
127,,2053
128,,2160
129,,2149
130,,2155
131,,2256
132,,2177
133,,2282
134,,2204
135,,2247
136,,2284
137,,2283
138,,2238
139,,2337
140,,2339
141,,2334
142,,2394
143,,2341
144,,2364
145,,2356
146,,2490
147,,2376
148,,2394
149,,2501
150,,2467
151,,2513
152,,2580
153,,2543
154,,2468
155,,2447
156,,2414
157,,2345
158,,2366
159,,2268
160,,2139
161,,2069
162,,2007
163,,2003
164,,1893
165,,1740
166,,1718
167,,1652
168,,1681
169,,1684
170,,1556
171,,1543
172,,1577
173,,1554
174,,1528
175,,1510
176,,1503
177,,1504
178,,1476
179,,1487
180,,1483
181,,1414
182,,1350
183,,1354
184,,1302
185,,1333
186,,1372
187,,1532
188,,1660
189,,1892
190,,2247
191,,2847
192,,3286
193,,3994
194,,4660
195,,5247
196,,5653
197,,5915
198,,6092
199,,5964
200,,5360
201,,4934
202,,4359
203,,3530
204,,2970
205,,2322
206,,1940
207,,1378
208,,1106
209,,797
210,,659
211,,610
212,,568
213,,629
214,,763
215,,907
216,,1261
217,,1594
218,,2029
219,,2630
220,,3056
221,,3668
222,,3991
223,,4388
224,,4521
225,,4713
226,,4568
227,,4432
228,,4064
229,,3509
230,,2977
231,,2616
232,,2081
233,,1648
234,,1269
235,,1000
236,,767
237,,525
238,,437
239,,292
240,,244
241,,211
242,,170
243,,173
244,,124
245,,130
246,,108
247,,94
248,,118
249,,115
250,,87
251,,87
252,,86
253,,77
254,,84
255,,79
256,,75
257,,95
258,,84
259,,80
260,,68
261,,60
262,,70
263,,55
264,,59
265,,65
266,,69
267,,67
268,,67
269,,50
270,,59
271,,64
272,,73
273,,61
274,,64
275,,63
276,,65
277,,58
278,,53
279,,61
280,,53
281,,51
282,,45
283,,64
284,,69
285,,57
286,,42
287,,48
288,,52
289,,43
290,,55
291,,54
292,,74
293,,53
294,,52
295,,42
296,,56
297,,53
298,,32
299,,44
300,,54
301,,52
302,,53
303,,49
304,,45
305,,39
306,,55
307,,55
308,,42
309,,45
310,,40
311,,38
312,,42
313,,42
314,,29
315,,30
316,,44
317,,34
318,,51
319,,30
320,,34
321,,37
322,,42
323,,46
324,,40
325,,29
326,,37
327,,29
328,,26
329,,29
330,,31
331,,32
332,,45
333,,29
334,,27
335,,32
336,,26
337,,26
338,,26
339,,37
340,,33
341,,42
342,,26
343,,28
344,,33
345,,26
346,,27
347,,35
348,,24
349,,30
350,,31
351,,33
352,,31
353,,28
354,,31
355,,32
356,,23
357,,29
358,,34
359,,37
360,,34
361,,28
362,,30
363,,30
364,,38
365,,21
366,,29
367,,36
368,,31
369,,37
370,,25
371,,33
372,,38
373,,36
374,,27
375,,33
376,,38
377,,32
378,,42
379,,30
380,,30
381,,31
382,,34
383,,35
384,,29
385,,36
386,,20
387,,18
388,,26
389,,20
390,,22
391,,21
392,,21
393,,21
394,,12
395,,16
396,,12
397,,18
398,,19
399,,16
400,,13
401,,16
402,,12
403,,15
404,,11
405,,12
406,,13
407,,14
408,,7
409,,6
410,,8
411,,6
412,,5
413,,13
414,,9
415,,9
416,,7
417,,8
418,,15
419,,8
420,,16
421,,22
422,,13
423,,27
424,,15
425,,22
426,,34
427,,24
428,,23
429,,28
430,,35
431,,36
432,,32
433,,31
434,,33
435,,32
436,,23
437,,27
438,,23
439,,17
440,,13
441,,17
442,,28
443,,18
444,,12
445,,8
446,,9
447,,11
448,,9
449,,10
450,,7
451,,10
452,,9
453,,4
454,,7
455,,3
456,,4
457,,2
458,,4
459,,3
460,,3
461,,4
462,,0
463,,5
464,,2
465,,2
466,,1
467,,3
468,,3
469,,4
470,,5
471,,1
472,,3
473,,1
474,,2
475,,3
476,,3
477,,0
478,,0
479,,4
480,,0
481,,2
482,,2
483,,3
484,,5
485,,0
486,,5
487,,0
488,,3
489,,2
490,,1
491,,3
492,,0
493,,2
494,,3
495,,2
496,,4
497,,3
498,,2
499,,1
500,,1
501,,3
502,,3
503,,1
504,,3
505,,0
506,,1
507,,1
508,,0
509,,2
510,,1
511,,2
512,,2
513,,1
514,,2
515,,3
516,,3
517,,3
518,,2
519,,2
520,,4
521,,2
522,,1
523,,0
524,,2
525,,2
526,,0
527,,3
528,,1
529,,3
530,,3
531,,3
532,,1
533,,3
534,,0
535,,5
536,,2
537,,1
538,,2
539,,3
540,,1
541,,1
542,,1
543,,2
544,,0
545,,0
546,,1
547,,3
548,,3
549,,1
550,,1
551,,3
552,,1
553,,7
554,,1
555,,1
556,,2
557,,1
558,,1
559,,6
560,,3
561,,4
562,,3
563,,4
564,,1
565,,3
566,,1
567,,2
568,,2
569,,3
570,,1
571,,5
572,,6
573,,1
574,,2
575,,2
576,,2
577,,1
578,,2
579,,1
580,,4
581,,0
582,,2
583,,2
584,,0
585,,3
586,,1
587,,1
588,,2
589,,2
590,,6
591,,1
592,,2
593,,1
594,,1
595,,3
596,,2
597,,0
598,,0
599,,2
600,,0
601,,1
602,,4
603,,1
604,,3
605,,1
606,,2
607,,2
608,,3
609,,0
610,,1
611,,2
612,,1
613,,1
614,,0
615,,1
616,,4
617,,1
618,,2
619,,3
620,,1
621,,3
622,,2
623,,5
624,,3
625,,3
626,,1
627,,2
628,,1
629,,2
630,,1
631,,1
632,,1
633,,1
634,,0
635,,3
636,,2
637,,1
638,,0
639,,3
640,,2
641,,0
642,,0
643,,1
644,,4
645,,1
646,,1
647,,3
648,,2
649,,4
650,,2
651,,2
652,,0
653,,3
654,,3
655,,0
656,,0
657,,1
658,,1
659,,2
660,,2
661,,2
662,,3
663,,5
664,,0
665,,0
666,,1
667,,1
668,,3
669,,3
670,,4
671,,0
672,,1
673,,2
674,,2
675,,4
676,,2
677,,1
678,,0
679,,2
680,,1
681,,2
682,,1
683,,1
684,,0
685,,0
686,,2
687,,0
688,,1
689,,2
690,,1
691,,1
692,,0
693,,1
694,,1
695,,0
696,,1
697,,0
698,,1
699,,3
700,,1
701,,1
702,,3
703,,3
704,,1
705,,2
706,,0
707,,3
708,,3
709,,2
710,,2
711,,1
712,,0
713,,3
714,,2
715,,0
716,,2
717,,2
718,,1
719,,2
720,,1
721,,1
722,,1
723,,2
724,,0
725,,0
726,,3
727,,0
728,,2
729,,2
730,,1
731,,0
732,,2
733,,0
734,,0
735,,2
736,,0
737,,1
738,,0
739,,0
740,,1
741,,0
742,,1
743,,0
744,,2
745,,2
746,,0
747,,1
748,,0
749,,1
750,,3
751,,0
752,,3
753,,0
754,,3
755,,1
756,,1
757,,0
758,,0
759,,1
760,,0
761,,2
762,,5
763,,3
764,,1
765,,1
766,,2
767,,0
768,,0
769,,1
770,,1
771,,2
772,,3
773,,0
774,,0
775,,0
776,,3
777,,0
778,,2
779,,0
780,,0
781,,0
782,,0
783,,0
784,,1
785,,0
786,,0
787,,0
788,,2
789,,0
790,,0
791,,0
792,,0
793,,1
794,,1
795,,0
796,,0
797,,1
798,,1
799,,0
800,,0
801,,0
802,,0
803,,0
804,,0
805,,0
806,,1
807,,0
808,,1
809,,2
810,,1
811,,1
812,,0
813,,0
814,,0
815,,0
816,,3
817,,0
818,,0
819,,0
820,,0
821,,1
822,,1
823,,0
824,,0
825,,0
826,,0
827,,1
828,,1
829,,0
830,,1
831,,0
832,,1
833,,0
834,,2
835,,1
836,,0
837,,2
838,,0
839,,0
840,,0
841,,1
842,,1
843,,0
844,,0
845,,0
846,,0
847,,1
848,,0
849,,2
850,,0
851,,2
852,,1
853,,0
854,,0
855,,0
856,,0
857,,0
858,,0
859,,1
860,,0
861,,0
862,,1
863,,0
864,,0
865,,1
866,,1
867,,1
868,,0
869,,1
870,,1
871,,0
872,,1
873,,2
874,,0
875,,1
876,,0
877,,1
878,,1
879,,1
880,,2
881,,0
882,,1
883,,0
884,,0
885,,0
886,,1
887,,0
888,,1
889,,0
890,,2
891,,0
892,,0
893,,0
894,,0
895,,0
896,,2
897,,0
898,,1
899,,0
900,,1
901,,0
902,,0
903,,1
904,,1
905,,0
906,,0
907,,1
908,,2
909,,0
910,,0
911,,1
912,,1
913,,0
914,,1
915,,1
916,,0
917,,0
918,,0
919,,0
920,,0
921,,0
922,,0
923,,0
924,,0
925,,1
926,,1
927,,0
928,,0
929,,1
930,,0
931,,1
932,,1
933,,0
934,,1
935,,1
936,,1
937,,0
938,,0
939,,1
940,,1
941,,1
942,,0
943,,0
944,,1
945,,0
946,,0
947,,1
948,,0
949,,2
950,,0
951,,0
952,,0
953,,0
954,,0
955,,1
956,,0
957,,0
958,,0
959,,0
960,,0
961,,1
962,,0
963,,0
964,,0
965,,1
966,,0
967,,0
968,,1
969,,1
970,,0
971,,0
972,,0
973,,1
974,,1
975,,1
976,,0
977,,1
978,,0
979,,1
980,,0
981,,0
982,,1
983,,0
984,,0
985,,2
986,,1
987,,0
988,,2
989,,0
990,,1
991,,0
992,,1
993,,0
994,,0
995,,1
996,,1
997,,3
998,,0
999,,0
1000,,1
1001,,0
1002,,0
1003,,0
1004,,0
1005,,0
1006,,0
1007,,0
1008,,1
1009,,1
1010,,0
1011,,0
1012,,0
1013,,0
1014,,0
1015,,0
1016,,0
1017,,0
1018,,0
1019,,0
1020,,0
1021,,0
1022,,0
1023,,0
