Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,203.84
Elapsed Live Time:,194.24
Start Time:,May 14, 2025, 03:57:51
End Time:,May 14, 2025, 04:01:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,12
1,,31
2,,53
3,,106
4,,312
5,,6315
6,,19228
7,,23091
8,,21664
9,,7234
10,,3289
11,,1763
12,,2186
13,,2700
14,,3421
15,,4001
16,,2142
17,,1332
18,,1367
19,,1501
20,,1649
21,,1903
22,,2051
23,,2010
24,,2043
25,,2141
26,,2804
27,,2590
28,,2329
29,,2507
30,,2908
31,,2506
32,,2569
33,,3309
34,,2637
35,,3381
36,,2910
37,,4111
38,,3766
39,,20041
40,,6559
41,,2326
42,,2281
43,,2255
44,,2224
45,,2152
46,,2026
47,,2086
48,,2039
49,,1872
50,,1955
51,,1896
52,,1869
53,,1808
54,,1864
55,,1833
56,,1724
57,,1742
58,,1738
59,,1647
60,,1591
61,,1574
62,,1596
63,,1571
64,,1530
65,,1543
66,,1560
67,,1558
68,,1642
69,,1601
70,,1618
71,,1601
72,,1556
73,,1479
74,,1418
75,,1402
76,,1261
77,,1092
78,,971
79,,806
80,,714
81,,600
82,,535
83,,500
84,,406
85,,393
86,,365
87,,375
88,,311
89,,278
90,,238
91,,217
92,,217
93,,227
94,,215
95,,220
96,,204
97,,194
98,,214
99,,264
100,,327
101,,471
102,,725
103,,1266
104,,2040
105,,3195
106,,4492
107,,6022
108,,7151
109,,8509
110,,9257
111,,9220
112,,8414
113,,7252
114,,5722
115,,4325
116,,2987
117,,1913
118,,1169
119,,736
120,,443
121,,252
122,,191
123,,117
124,,99
125,,82
126,,53
127,,65
128,,59
129,,52
130,,48
131,,51
132,,46
133,,55
134,,44
135,,52
136,,46
137,,45
138,,51
139,,46
140,,48
141,,48
142,,42
143,,50
144,,41
145,,39
146,,37
147,,41
148,,47
149,,40
150,,40
151,,43
152,,49
153,,38
154,,33
155,,45
156,,41
157,,42
158,,34
159,,33
160,,31
161,,36
162,,32
163,,44
164,,37
165,,30
166,,31
167,,36
168,,34
169,,29
170,,20
171,,36
172,,41
173,,18
174,,32
175,,24
176,,27
177,,27
178,,31
179,,21
180,,22
181,,26
182,,25
183,,24
184,,26
185,,31
186,,19
187,,20
188,,22
189,,22
190,,17
191,,25
192,,29
193,,28
194,,32
195,,27
196,,27
197,,36
198,,32
199,,28
200,,31
201,,33
202,,25
203,,22
204,,21
205,,15
206,,15
207,,13
208,,16
209,,26
210,,14
211,,20
212,,15
213,,13
214,,17
215,,17
216,,25
217,,28
218,,32
219,,29
220,,18
221,,25
222,,21
223,,25
224,,22
225,,19
226,,23
227,,24
228,,30
229,,14
230,,18
231,,11
232,,7
233,,18
234,,19
235,,9
236,,9
237,,8
238,,9
239,,9
240,,6
241,,11
242,,15
243,,21
244,,11
245,,21
246,,9
247,,15
248,,14
249,,12
250,,16
251,,11
252,,7
253,,11
254,,8
255,,9
256,,6
257,,7
258,,5
259,,8
260,,6
261,,0
262,,3
263,,6
264,,5
265,,6
266,,4
267,,5
268,,7
269,,1
270,,4
271,,4
272,,7
273,,4
274,,5
275,,3
276,,4
277,,4
278,,5
279,,5
280,,5
281,,5
282,,5
283,,4
284,,2
285,,5
286,,7
