Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,309.92
Elapsed Live Time:,293.2
Start Time:,May 14, 2025, 03:39:05
End Time:,May 14, 2025, 03:44:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,20
1,,15
2,,7
3,,27
4,,292
5,,9644
6,,3482
7,,9283
8,,33654
9,,32153
10,,9862
11,,3274
12,,3427
13,,4130
14,,5465
15,,5914
16,,3087
17,,2069
18,,2031
19,,2295
20,,2609
21,,2847
22,,3142
23,,3334
24,,3714
25,,3684
26,,3729
27,,3676
28,,3705
29,,3672
30,,3770
31,,3949
32,,4162
33,,4092
34,,4208
35,,4356
36,,5098
37,,5856
38,,6983
39,,8970
40,,3851
41,,3549
42,,3499
43,,3313
44,,3377
45,,3307
46,,3198
47,,3124
48,,3162
49,,3067
50,,2962
51,,2910
52,,2716
53,,2575
54,,2379
55,,2051
56,,1974
57,,1750
58,,1669
59,,1558
60,,1416
61,,1237
62,,1194
63,,1132
64,,1090
65,,1055
66,,978
67,,956
68,,927
69,,883
70,,906
71,,893
72,,845
73,,893
74,,909
75,,1008
76,,1201
77,,1558
78,,2564
79,,3792
80,,5829
81,,8433
82,,11000
83,,13166
84,,14459
85,,14769
86,,13375
87,,11048
88,,8236
89,,5898
90,,3840
91,,2434
92,,1596
93,,1093
94,,832
95,,687
96,,582
97,,494
98,,521
99,,459
100,,462
101,,528
102,,507
103,,515
104,,545
105,,434
106,,523
107,,554
108,,564
109,,549
110,,573
111,,600
112,,595
113,,566
114,,513
115,,522
116,,505
117,,519
118,,464
119,,442
120,,469
121,,444
122,,416
123,,458
124,,457
125,,457
126,,476
127,,451
128,,409
129,,430
130,,482
131,,460
132,,457
133,,449
134,,423
135,,452
136,,433
137,,478
138,,441
139,,468
140,,443
141,,433
142,,447
143,,511
144,,440
145,,408
146,,531
147,,469
148,,486
149,,486
150,,498
151,,476
152,,509
153,,495
154,,490
155,,502
156,,523
157,,487
158,,508
159,,511
160,,480
161,,501
162,,502
163,,464
164,,525
165,,549
166,,503
167,,507
168,,583
169,,515
170,,496
171,,521
172,,508
173,,494
174,,437
175,,434
176,,427
177,,389
178,,364
179,,334
180,,301
181,,315
182,,224
183,,227
184,,200
185,,179
186,,176
187,,162
188,,158
189,,151
190,,152
191,,133
192,,145
193,,132
194,,149
195,,126
196,,106
197,,148
198,,145
199,,143
200,,144
201,,144
202,,173
203,,193
204,,256
205,,315
206,,447
207,,549
208,,714
