Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	700
Conversion Gain:	2048
Coarse Gain:	8
Fine Gain:	1.20
Upper Discriminator:	2096
Lower Discriminator:	62
Calibration Coefficients:Elapsed Real Time:	5.03
Elapsed Live Time:	5.0
Start Time:	July 25, 2023, 01:36:39
End Time:	July 25, 2023, 01:36:44
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		12
52		20
53		17
54		23
55		16
56		18
57		9
58		14
59		20
60		15
61		16
62		10
63		19
64		20
65		13
66		11
67		21
68		12
69		23
70		14
71		7
72		12
73		17
74		10
75		20
76		16
77		13
78		15
79		14
80		14
81		25
82		11
83		8
84		12
85		9
86		11
87		14
88		12
89		11
90		15
91		14
92		8
93		9
94		12
95		13
96		12
97		8
98		9
99		11
100		8
101		14
102		8
103		12
104		13
105		6
106		15
107		9
108		13
109		16
110		10
111		7
112		13
113		7
114		3
115		10
116		9
117		9
118		8
119		9
120		7
121		10
122		5
123		4
124		5
125		10
126		10
127		11
128		3
129		6
130		4
131		8
132		11
133		3
134		15
135		10
136		7
137		6
138		14
139		6
140		9
141		7
142		9
143		5
144		9
145		11
146		4
147		7
148		6
149		9
150		5
151		9
152		7
153		5
154		3
155		4
156		5
157		3
158		5
159		2
160		4
161		7
162		6
163		10
164		3
165		7
166		0
167		4
168		4
169		3
170		5
171		2
172		1
173		5
174		5
175		1
176		2
177		4
178		3
179		3
180		3
181		3
182		4
183		4
184		1
185		4
186		3
187		6
188		7
189		5
190		3
191		4
192		3
193		7
194		4
195		6
196		1
197		1
198		2
199		3
200		2
201		2
202		2
203		3
204		2
205		5
206		3
207		5
208		1
209		6
210		6
211		5
212		0
213		5
214		0
215		2
216		2
217		3
218		2
219		3
220		4
221		3
222		3
223		5
224		2
225		2
226		0
227		2
228		1
229		2
230		2
231		2
232		4
233		4
234		3
235		1
236		3
237		2
238		3
239		0
240		1
241		0
242		3
243		1
244		0
245		3
246		1
247		2
248		2
249		2
250		2
251		5
252		2
253		4
254		2
255		2
256		3
257		3
258		1
259		2
260		1
261		5
262		3
263		0
264		3
265		2
266		0
267		1
268		0
269		3
270		1
271		2
272		2
273		2
274		1
275		2
276		3
277		5
278		0
279		2
280		0
281		7
282		3
283		0
284		1
285		2
286		3
287		0
288		2
289		2
290		6
291		2
292		0
293		1
294		1
295		2
296		4
297		0
298		0
299		3
300		4
301		3
302		2
303		0
304		3
305		2
306		0
307		0
308		0
309		1
310		1
311		1
312		1
313		2
314		1
315		3
316		1
317		1
318		1
319		2
320		4
321		1
322		2
323		0
324		1
325		1
326		2
327		1
328		3
329		1
330		0
331		0
332		2
333		1
334		3
335		0
336		0
337		0
338		1
339		3
340		7
341		3
342		0
343		1
344		0
345		4
346		2
347		1
348		1
349		1
350		0
351		1
352		1
353		2
354		0
355		3
356		2
357		1
358		1
359		2
360		1
361		1
362		1
363		0
364		2
365		2
366		1
367		1
368		1
369		3
370		0
371		4
372		3
373		0
374		1
375		1
376		3
377		1
378		2
379		2
380		3
381		1
382		2
383		2
384		0
385		2
386		1
387		1
388		2
389		0
390		4
391		0
392		2
393		1
394		1
395		1
396		2
397		1
398		0
399		1
400		1
401		3
402		0
403		1
404		2
405		0
406		3
407		0
408		3
409		0
410		0
411		2
412		1
413		2
414		0
415		0
416		1
417		1
418		0
419		1
420		3
421		3
422		1
423		1
424		1
425		0
426		1
427		0
428		0
429		0
430		2
431		0
432		1
433		3
434		1
435		0
436		0
437		3
438		0
439		0
440		0
441		1
442		2
443		1
444		0
445		2
446		2
447		1
448		0
449		0
450		1
451		3
452		3
453		2
454		2
455		1
456		5
457		2
458		3
459		3
460		1
461		2
462		3
463		0
464		1
465		0
466		4
467		0
468		0
469		3
