Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	700
Conversion Gain:	2048
Coarse Gain:	8
Fine Gain:	1.20
Upper Discriminator:	2096
Lower Discriminator:	62
Calibration Coefficients:Elapsed Real Time:	458.16
Elapsed Live Time:	450.57
Start Time:	July 24, 2023, 03:46:44
End Time:	July 24, 2023, 03:54:22
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		1
37		0
38		0
39		0
40		0
41		1
42		0
43		1
44		2
45		2
46		1
47		2
48		3
49		4
50		435
51		1727
52		1795
53		1858
54		1878
55		1936
56		1906
57		1858
58		1941
59		1927
60		2043
61		2049
62		1995
63		1950
64		1985
65		1987
66		1939
67		1912
68		1959
69		1892
70		1949
71		1901
72		1888
73		1904
74		1899
75		1897
76		1806
77		1794
78		1776
79		1872
80		1836
81		1772
82		1755
83		1916
84		1851
85		1833
86		1875
87		1852
88		1887
89		1806
90		1886
91		1866
92		1956
93		1998
94		2150
95		2107
96		2120
97		2188
98		2233
99		2244
100		2357
101		2338
102		2388
103		2379
104		2346
105		2417
106		2396
107		2396
108		2371
109		2484
110		2362
111		2352
112		2495
113		2396
114		2438
115		2352
116		2496
117		2523
118		2374
119		2500
120		2447
121		2460
122		2453
123		2429
124		2321
125		2473
126		2289
127		2483
128		2342
129		2256
130		2451
131		2260
132		2232
133		2254
134		2194
135		2254
136		2219
137		2220
138		2193
139		2164
140		2234
141		2115
142		2109
143		2061
144		2134
145		2088
146		2040
147		2024
148		1961
149		1994
150		1984
151		1998
152		1978
153		2006
154		1973
155		1944
156		1931
157		1894
158		1878
159		1869
160		1900
161		1761
162		1891
163		1826
164		1837
165		1839
166		1776
167		1726
168		1740
169		1777
170		1737
171		1749
172		1774
173		1681
174		1682
175		1692
176		1763
177		1688
178		1710
179		1622
180		1699
181		1644
182		1736
183		1651
184		1613
185		1619
186		1635
187		1592
188		1617
189		1577
190		1630
191		1602
192		1588
193		1547
194		1551
195		1610
196		1532
197		1559
198		1562
199		1461
200		1562
201		1546
202		1534
203		1559
204		1483
205		1490
206		1586
207		1422
208		1531
209		1510
210		1574
211		1508
212		1530
213		1514
214		1487
215		1461
216		1404
217		1528
218		1434
219		1499
220		1485
221		1527
222		1457
223		1477
224		1531
225		1474
226		1492
227		1542
228		1449
229		1483
230		1549
231		1590
232		1517
233		1540
234		1475
235		1487
236		1554
237		1536
238		1524
239		1501
240		1501
241		1553
242		1493
243		1488
244		1463
245		1474
246		1506
247		1380
248		1432
249		1380
250		1382
251		1320
252		1244
253		1277
254		1164
255		1105
256		1109
257		1053
258		1001
259		976
260		866
261		841
262		804
263		777
264		748
265		708
266		705
267		622
268		630
269		579
270		517
271		489
272		500
273		451
274		477
275		457
276		437
277		436
278		392
279		369
280		380
281		350
282		380
283		323
284		338
285		310
286		333
287		291
288		306
289		326
290		246
291		242
292		243
293		263
294		253
295		263
296		226
297		203
298		248
299		230
300		203
301		224
302		215
303		221
304		216
305		198
306		162
307		206
308		188
309		191
310		205
311		195
312		178
313		186
314		173
315		173
316		180
317		190
318		191
319		189
320		180
321		172
322		163
323		178
324		197
325		199
326		220
327		220
328		181
329		227
330		254
331		247
332		302
333		329
334		390
335		430
336		530
337		620
338		752
339		875
340		1050
341		1206
342		1381
343		1654
344		1893
345		2206
346		2554
347		2879
348		3184
349		3593
350		4148
351		4489
352		5161
353		5541
354		6066
355		6593
356		6993
357		7443
358		7786
359		8257
360		8598
361		8887
362		9131
363		9313
364		9456
365		9685
366		9509
367		9252
368		9230
369		8883
370		8563
371		8199
372		7847
373		7445
374		6968
375		6502
376		5947
377		5467
378		4965
379		4459
380		4005
381		3690
382		3224
383		2633
384		2317
385		2121
386		1771
387		1550
388		1309
389		1094
390		917
391		739
392		686
393		590
394		460
395		383
396		323
397		250
398		219
399		176
400		125
401		109
402		104
403		84
404		94
405		69
