Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	700
Conversion Gain:	2048
Coarse Gain:	8
Fine Gain:	1.20
Upper Discriminator:	2096
Lower Discriminator:	62
Calibration Coefficients:Elapsed Real Time:	935.34
Elapsed Live Time:	910.61
Start Time:	July 24, 2023, 03:55:26
End Time:	July 24, 2023, 04:11:01
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		1
24		1
25		2
26		1
27		0
28		0
29		0
30		1
31		3
32		1
33		3
34		2
35		4
36		3
37		1
38		6
39		8
40		2
41		5
42		5
43		7
44		3
45		8
46		11
47		6
48		12
49		16
50		1207
51		5368
52		5198
53		5533
54		5575
55		5610
56		5805
57		5859
58		5889
59		5821
60		6119
61		6021
62		6081
63		6152
64		6117
65		5956
66		5974
67		5951
68		5846
69		5849
70		5870
71		5839
72		5737
73		5716
74		5627
75		5801
76		5792
77		5727
78		5623
79		5731
80		5768
81		5838
82		5810
83		5753
84		5848
85		5941
86		6251
87		6296
88		6333
89		6438
90		6632
91		6736
92		6861
93		7054
94		7245
95		7118
96		7139
97		7272
98		7245
99		7376
100		7344
101		7386
102		7417
103		7537
104		7524
105		7611
106		7724
107		7660
108		7514
109		7615
110		7522
111		7714
112		7640
113		7556
114		7474
115		7517
116		7520
117		7520
118		7643
119		7441
120		7402
121		7387
122		7227
123		7300
124		7207
125		7219
126		7129
127		6997
128		6883
129		6937
130		6873
131		6791
132		6652
133		6728
134		6801
135		6700
136		6528
137		6568
138		6520
139		6587
140		6463
141		6413
142		6398
143		6281
144		6296
145		6124
146		6388
147		6105
148		6084
149		6177
150		6264
151		6102
152		5971
153		5985
154		5951
155		5974
156		6011
157		5909
158		5963
159		5945
160		5910
161		5847
162		5704
163		5810
164		5802
165		5720
166		5717
167		5763
168		5932
169		5678
170		5543
171		5678
172		5495
173		5451
174		5497
175		5182
176		5185
177		4931
178		4799
179		4579
180		4641
181		4433
182		4219
183		4165
184		3906
185		3809
186		3620
187		3537
188		3478
189		3259
190		3178
191		3053
192		2940
193		2790
194		2773
195		2734
196		2627
197		2568
198		2593
199		2510
200		2295
201		2323
202		2283
203		2233
204		2286
205		2146
206		2116
207		2071
208		2007
209		2120
210		1995
211		2033
212		1887
213		1927
214		1908
215		1936
216		1765
217		1840
218		1771
219		1738
220		1789
221		1735
222		1707
223		1710
224		1751
225		1694
226		1597
227		1647
228		1625
229		1736
230		1592
231		1505
232		1589
233		1658
234		1564
235		1555
236		1561
237		1568
238		1571
239		1562
240		1481
241		1531
242		1444
243		1580
244		1589
245		1636
246		1575
247		1544
248		1571
249		1609
250		1632
251		1770
252		1738
253		1843
254		2046
255		2203
256		2393
257		2839
258		3091
259		3629
260		4015
261		4643
262		5451
263		6258
264		7341
265		8364
266		9792
267		10898
268		12351
269		14113
270		15891
271		17526
272		19490
273		21202
274		22876
275		24844
276		26474
277		27459
278		29035
279		30175
280		30821
281		31731
282		31549
283		31602
284		31127
285		30483
286		29657
287		28265
288		27050
289		25681
290		23790
291		21933
292		19810
293		17933
294		16302
295		14382
296		12711
297		11129
298		9638
299		8239
300		7166
301		6191
302		5200
303		4407
304		3755
305		3179
306		2752
307		2415
308		2040
309		1769
310		1595
311		1425
312		1271
313		1208
314		1163
315		1093
316		1016
317		1017
318		1035
319		931
320		966
321		930
322		934
323		931
324		863
325		914
326		877
327		890
328		841
329		889
330		888
331		835
332		883
333		855
334		880
335		882
336		856
337		819
338		878
339		845
340		873
341		858
342		824
343		842
344		844
345		846
346		805
347		804
348		842
349		842
350		826
351		823
352		830
353		807
354		856
355		828
356		839
357		791
358		822
359		826
360		962
361		829
362		803
363		857
364		784
365		802
366		814
367		809
368		876
369		802
370		887
371		859
372		812
373		852
374		853
375		860
376		834
377		844
378		894
379		798
380		866
381		867
382		852
383		824
384		862
385		822
386		862
387		808
388		825
389		823
390		872
391		882
392		810
393		831
394		870
395		841
396		788
397		872
398		846
399		862
400		767
401		874
402		863
