Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	700
Conversion Gain:	2048
Coarse Gain:	8
Fine Gain:	1.20
Upper Discriminator:	2096
Lower Discriminator:	62
Calibration Coefficients:Elapsed Real Time:	1131.49
Elapsed Live Time:	1110.91
Start Time:	July 24, 2023, 03:25:27
End Time:	July 24, 2023, 03:44:18
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		1
24		0
25		0
26		0
27		0
28		0
29		0
30		1
31		1
32		0
33		0
34		2
35		0
36		0
37		4
38		0
39		1
40		1
41		0
42		1
43		2
44		3
45		3
46		1
47		2
48		1
49		11
50		843
51		3069
52		3070
53		3109
54		3155
55		3112
56		3272
57		3341
58		3097
59		3156
60		3316
61		3323
62		3293
63		3355
64		3414
65		3245
66		3294
67		3423
68		3315
69		3367
70		3343
71		3306
72		3387
73		3399
74		3270
75		3366
76		3221
77		3152
78		3237
79		3279
80		3262
81		3139
82		3193
83		3226
84		3189
85		3090
86		3145
87		3216
88		3156
89		3184
90		3150
91		3103
92		3142
93		3121
94		3065
95		3078
96		3104
97		3063
98		3053
99		3172
100		3037
101		3139
102		3253
103		3185
104		3163
105		3131
106		3356
107		3364
108		3421
109		3554
110		3533
111		3594
112		3739
113		3801
114		3907
115		3956
116		3891
117		4071
118		4030
119		4113
120		4055
121		4162
122		4165
123		4110
124		4163
125		4065
126		3998
127		4050
128		4109
129		3937
130		4012
131		3912
132		3992
133		4075
134		4075
135		4089
136		4095
137		4068
138		3942
139		3947
140		4092
141		4048
142		4138
143		3981
144		4039
145		4126
146		4013
147		4049
148		3878
149		3853
150		3984
151		4006
152		3961
153		3832
154		3803
155		3860
156		3832
157		3794
158		3738
159		3747
160		3760
161		3683
162		3617
163		3637
164		3664
165		3759
166		3665
167		3525
168		3634
169		3561
170		3588
171		3441
172		3471
173		3361
174		3376
175		3376
176		3356
177		3329
178		3291
179		3219
180		3264
181		3226
182		3263
183		3159
184		3189
185		3131
186		3105
187		3091
188		3164
189		3180
190		2911
191		3115
192		2927
193		2921
194		3049
195		2899
196		2861
197		2945
198		2807
199		2898
200		2863
201		2897
202		2836
203		2718
204		2859
205		2832
206		2778
207		2803
208		2809
209		2712
210		2733
211		2661
212		2746
213		2575
214		2768
215		2612
216		2562
217		2721
218		2641
219		2660
220		2539
221		2579
222		2556
223		2540
224		2594
225		2498
226		2430
227		2468
228		2561
229		2452
230		2481
231		2602
232		2486
233		2443
234		2432
235		2385
236		2437
237		2468
238		2367
239		2363
240		2436
241		2422
242		2382
243		2422
244		2438
245		2370
246		2342
247		2312
248		2335
249		2312
250		2310
251		2349
252		2202
253		2347
254		2280
255		2236
256		2310
257		2253
258		2250
259		2190
260		2305
261		2193
262		2303
263		2361
264		2362
265		2327
266		2322
267		2258
268		2208
269		2222
270		2213
271		2303
272		2220
273		2241
274		2162
275		2304
276		2283
277		2205
278		2256
279		2274
280		2218
281		2204
282		2194
283		2289
284		2183
285		2262
286		2230
287		2186
288		2113
289		2250
290		2151
291		2098
292		2247
293		2030
294		2085
295		2152
296		2137
297		2124
298		2101
299		2177
300		2167
301		2021
302		2065
303		2098
304		2056
305		1949
306		2025
307		2054
308		2098
309		2031
310		2091
311		2100
312		2051
313		2101
314		2048
315		2032
316		1994
317		1983
318		2062
319		2044
320		2053
321		2013
322		1944
323		1997
324		2032
325		2069
326		2028
327		2081
328		2028
329		2053
330		1996
331		2064
332		2080
333		1993
334		2060
335		1962
336		2053
337		2005
338		2094
339		2113
340		2033
341		2008
342		2031
343		2033
344		1993
345		2018
346		2034
347		1995
348		2047
349		2005
350		2019
351		1996
352		2097
353		2013
354		2019
355		2008
356		1999
357		1962
358		2097
359		2064
360		2007
361		2043
362		1991
363		2006
364		2089
365		2007
366		2070
367		1979
368		2045
369		1985
370		2036
371		2002
372		2041
373		2123
374		2037
375		2074
376		2063
377		1988
378		2090
379		2040
380		2012
381		2016
382		1991
383		2083
384		2088
385		2113
